gene	E14_ES_fpkm	E14_flk_fpkm	E14_HE1_fpkm	E14_HE2_fpkm	E14_prog_fpkm	Sp1hyp_ES_fpkm	Sp1hyp_Flk_fpkm	Sp1hyp_HE1_fpkm	Sp1hyp_HE2_fpkm	Sp1hyp_prog_fpkm
H1f0	9.553215767	55.29917445	29.34665693	24.3979598	24.60458238	10.87709478	57.22311912	20.1515388	18.56582452	17.83234475
H1fnt	0.15832945	0.399467733	0.6794964	0.54104375	0.40405975	0.175840133	0.28999035	0.610683567	0.422683867	0.316956217
H1foo	0	0.02329125	1.225911433	0.929714833	0.210642967	0	0	0.42628015	0.156954117	0.007057617
H1fx	1.582768633	6.00607045	2.878238633	2.071007667	1.495155367	1.510356317	4.57423045	2.1513821	3.654250233	1.778112817
H2-Ab1	0.0755731	1.73245425	0.144982033	0.122414517	0.228653967	0.383551083	2.046893133	0.001723592	0.0878704	0.007057617
H2-Bl	0.8490112	0.034474617	0.000444875	0.0003658	0.000715	2.086538517	0.331674333	0.001723592	0.00155065	0.007057617
H2-D1	6.430109717	4.659898017	10.31461945	5.8827687	5.913207033	7.2296669	3.951073083	4.71641225	2.13116175	2.104263583
H2-DMa	0.813738117	0.871131567	0.343732933	0.359577367	0.292600583	1.38487945	0.852500867	0.494032183	0.42701675	0.64726435
H2-DMb1	0.694705367	0.088173983	0.045743267	0.0003658	0.067529075	0.128481717	0.099895517	0.001723592	0.00155065	0.007057617
H2-Eb1	0.252981617	0	0.000444875	0.0003658	0.000715	0.626194267	0	0.001723592	0.00155065	0.007057617
H2-K1	15.2055239	11.82630453	7.5124178	6.701514067	5.927063717	17.47796477	8.81914735	5.304138117	5.8342835	4.74792025
H2-K2	0.811417967	1.080730683	0.482608967	0.30580145	0.596128733	0.493178333	1.1376315	0.50162715	0.339235017	0.27912915
H2-Ke6	6.092499933	9.87349435	3.93357485	5.952793767	7.4058917	8.923433633	9.189426333	5.370639067	8.15367815	9.119088717
H2-L	0.293080233	0.006882367	0.6352333	0.48454205	0.073075392	0.573209333	0.009304217	0.46143785	0.143116233	0.341981875
H2-M3	1.324303383	0.831932583	0.394465733	0.170206367	0.201372233	1.164852083	0.931514617	0.467402717	0.275667433	0.163464092
H2-M5	12.48019982	0.094005883	0.075219683	0.047447167	0.072631108	12.31195422	0.262988883	0.171215683	0.255821083	0.007057617
H2-Oa	0.013266933	1.340583333	0.000444875	0.126193517	0.114994925	0	0.1113988	0.001723592	0.00155065	0.007057617
H2-Q10	1.092595367	0	0.000444875	0.0003658	0.068419308	1.083344917	0.040236067	0.001723592	0.00155065	0.007057617
H2-Q4	2.6202719	2.284792667	1.55349765	0.737895467	0.5892046	3.069140383	1.397985333	1.07473015	0.515354267	0.144140858
H2-Q7	0.44126495	0.7681625	0.000444875	0.0003658	0.000715	0.61740555	0.982122017	0.068530108	0.00155065	0.007057617
H2-Q8	0.1237168	0.189053767	0.000444875	0.0003658	0.000715	0.46749795	0.278575717	0.001723592	0.00155065	0.007057617
H2-T10	0.197099033	0.620439317	0.275231067	0.094186083	0.096677542	0.200638067	0.932057883	0.275252983	0.4739648	0.146778458
H2-T22	2.205365267	2.500115717	3.012196583	3.526589933	4.3229971	2.71676815	4.338801717	3.85269525	3.878577383	7.198527267
H2-T23	0.3974749	0.7237605	1.448292017	2.003858733	2.544052917	0.46865605	2.57264175	1.738255033	5.2445529	8.9194056
H2-T24	1.16254475	0.501358417	0.755625033	1.90716435	3.980114983	1.181929083	1.398641967	1.4783463	5.56611785	13.92377387
H2-T9	0.364610167	4.126682217	3.962033517	3.073291883	3.219210333	0.318906233	2.130043033	3.27772255	5.905802617	4.361669567
H2afj	5.9112861	4.3858297	6.9218662	7.580608583	54.45951705	9.09543755	1.9211981	3.93709275	4.649797233	6.73575455
H2afv	22.57209885	38.3099684	18.73015128	20.53636735	28.69579787	21.50170803	29.38828528	14.76752547	23.9777311	31.78470933
H2afx	51.57064398	79.31673242	55.6301215	50.04786313	64.66260347	60.31782603	70.807425	53.83979525	69.48624813	75.1370765
H2afy	40.02748183	48.10052743	54.63784562	64.58572097	69.71959128	62.80386777	58.57160302	70.42722425	88.84904622	75.35188845
H2afy2	10.37682227	29.48534487	20.41279292	7.595846483	2.657519983	19.97035082	41.36825925	24.65365743	8.982063167	2.69806765
H2afy3	2.308248917	0.679659983	1.40301835	2.008121	1.643010717	3.568320483	1.194089333	2.289775733	1.7505372	1.858022033
H2afz	474.4206529	317.9709757	185.3926181	340.608993	539.3127166	633.7303726	391.3936434	242.5523297	426.3586151	521.1996063
H3f3a	231.7567401	322.5115774	277.8557864	362.6750036	389.6711629	359.2325928	454.5863322	405.8870702	488.0696461	514.2032328
H3f3b	176.5546528	258.6416209	356.5101684	387.8182666	403.3226207	125.8827457	259.8839307	253.6443263	308.2148771	303.3220927
H60b	2.7315479	0.86329155	1.718044867	0.415205233	0.448192483	2.96654965	0.948467467	2.1992127	0.619382567	0.357504667
H6pd	3.001485633	5.028166733	6.551609433	6.898778017	7.74959735	5.744050467	3.53891245	4.957034833	5.63387465	4.840030567
Haao	0.11661385	0.317223067	0.243927533	0.353673867	1.136535233	0	0.188646067	0.126386525	0.17603115	0.68776995
Habp4	3.538007017	2.62672355	4.201261467	4.431870183	3.539010867	5.080858417	4.305649467	8.8831732	7.961782433	6.65302595
Hacd1	5.054203867	19.75436982	19.95790428	16.52871147	14.52368345	3.793969567	17.62683973	10.82967455	13.41670962	11.13799505
Hacd2	9.382619883	4.472248033	3.753822967	5.226970967	6.113368583	8.8677733	6.089251117	5.4806033	6.628334917	8.184683883
Hacd3	17.30548767	17.68327182	22.4906232	29.08682393	25.63101062	13.88295887	23.85767203	26.92369145	32.14410082	32.69713607
Hacd4	0.47245485	0.718093	2.392651917	4.261725183	7.5798851	0.770794383	1.0825759	2.284936517	2.225467	4.82913495
Hace1	9.24889885	15.15645377	17.4960746	16.03493823	12.93834232	8.522872967	15.04407362	20.28180037	18.51149145	17.57575155
Hacl1	2.98460995	6.747556967	3.234549767	5.020064717	5.866856	1.901031817	2.918992733	3.388049067	3.575859467	5.38945935
Hadh	36.95570998	48.91013367	49.9948342	49.55429892	43.72038525	35.31285828	20.70472282	14.2111589	12.63232745	13.53255498
Hadha	28.048629	28.18344392	37.38528713	43.13647248	43.07231238	27.29502163	31.38838083	38.45603875	45.00389437	54.36582038
Hadhb	38.1816456	16.47580615	46.4063063	63.7636986	66.0454852	34.85614482	23.65995288	58.45491205	71.40440052	79.57952247
Hagh	16.9294325	10.8096975	12.89631267	12.81234768	14.08624795	21.40035068	11.62929435	10.50222012	14.35202757	19.03413302
Haghl	2.960513483	9.0421537	3.8845051	4.36061815	4.4151117	4.535621733	10.90932898	4.806866167	7.4141418	6.87258255
Haglr	0.000472767	1.564835	0.195626167	0.70461635	0.589928367	0.002175433	0.8065657	0.099530983	0.221936317	0.110511875
