gene,Sp1hyp_ES_fpkm,Sp1hyp_Flk_fpkm,Sp1hyp_HE1_fpkm,Sp1hyp_HE2_fpkm,Sp1hyp_prog_fpkm
Rnasel,0.0067206,0.16582805,0.837296467,0.5985053,0.634449583
Rnaset2a,4.465573583,14.24761472,7.113314233,7.922201067,11.54662782
Rnaset2b,0.90508965,0.008405567,1.319758367,0.049162067,0.8590399
Rnd1,4.827593767,0.12007295,1.98555905,0.785969433,0.530394967
Rnd2,7.430313433,10.1175028,51.81692565,74.95146418,51.74587765
Rnd3,13.79165313,26.08076033,17.19540012,10.01104445,7.566428583
Rnf10,70.2128861,72.51086422,67.6534112,71.7862625,73.94587275
Rnf103,0.79537485,8.1336049,10.82351175,10.92194063,9.230483733
Rnf11,9.25275105,17.08137428,27.66863453,22.43077472,19.70068852
Rnf111,19.40895533,17.76526965,18.42871802,16.42485612,13.52905943
Rnf113a1,2.8319043,3.076310817,1.1370628,1.36678275,1.412807583
Rnf113a2,9.666587183,8.91052795,6.775846833,7.54363605,9.27022355
Rnf114,22.18207123,21.19893967,14.64433438,17.4991915,22.0097591
Rnf115,20.96687622,25.291862,25.2478518,24.44788863,23.06235247
Rnf121,13.3481059,15.9117609,10.80052105,10.0277071,10.23669148
Rnf122,1.75724875,4.52131755,3.30655975,2.043819,0.7187744
Rnf123,2.827533817,5.6395305,6.304207017,6.302031783,7.480148533
Rnf125,18.84651092,0.817643433,4.888192317,7.507483517,5.095981417
Rnf126,17.98205417,16.2936569,12.90745047,14.23585492,14.35168735
Rnf128,1.436495767,7.728380283,3.282286867,2.796512733,4.348808283
Rnf13,7.118564567,9.167661317,8.836230583,9.23648295,8.4142141
Rnf130,6.1159808,20.90971308,9.88985095,14.58424293,18.6365274
Rnf135,0.892757367,0.083850033,0.364669383,0.992744633,1.209404683
Rnf138,33.0643468,16.44456768,8.848460417,13.08712442,12.38417197
Rnf139,11.01651602,13.3281509,9.560895767,12.39920668,15.3508114
