gene,E14_ES_fpkm,E14_flk_fpkm,E14_HE1_fpkm,E14_HE2_fpkm,E14_prog_fpkm
Csnk1a1,134.8795756,138.0899948,146.9416564,144.872222,141.5575913
Csnk1d,28.68752943,44.25414153,56.34119357,55.37503233,52.83140738
Csnk1e,20.97276372,36.89607182,40.45846083,40.92138823,35.78202512
Csnk1g1,10.25643313,11.8632478,12.92659222,11.12498782,10.22606053
Csnk1g2,29.41129883,50.727015,54.38343067,49.64847052,48.63034952
Csnk1g3,9.977804133,16.69923003,15.48838563,13.21175198,11.45149767
Csnk2a1,100.2221056,92.607674,45.6622995,56.68186702,64.59765928
Csnk2a2,19.87101187,25.88106012,19.9265066,19.01029782,21.82240972
Csnk2b,76.52151625,70.57568812,97.14163348,98.72348262,97.41639622
Cspg5,0.87988355,0.502445917,0.9650901,1.24672355,1.412804417
Cspp1,13.83148315,12.69350503,7.3707053,7.691705967,8.959606683
Csrnp1,13.1084235,2.7389602,12.88111253,7.743956917,5.971944733
Csrnp2,6.668636867,3.969296533,5.260620633,3.805333883,2.813815483
Csrnp3,1.521221717,1.202563083,0.316944217,0.615971583,0.411424967
Csrp1,28.14015995,33.7835618,224.5672208,126.1644374,93.83377555
Csrp2,85.63736945,65.68000405,179.862307,56.40688883,21.3500686
Csrp2bp,16.04561928,15.6015123,14.003034,16.13582947,16.57400748
Cst3,29.08544137,54.02160968,87.1238651,76.604388,71.52563277
